,消費者物價基本分類指數,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
統計期,總指數,年增率(%),一.食物類,年增率(%),二.衣著類,年增率(%),三.居住類,年增率(%),四.交通及通訊類,年增率(%),五.醫藥保健類,年增率(%),六.教養娛樂類,年增率(%),七.雜項類,年增率(%)
110年4月,99.35,2.11,97.68,0.63,102.98,1.37,99.52,0.9,99.19,9.44,100.04,0.4,99.87,1.77,100.05,0.86
110年5月,99.58,2.45,98.62,1.67,102.36,2.63,99.57,0.95,99.28,9.56,99.75,0.16,99.59,1.71,100.38,1
110年6月,99.77,1.83,99.58,2.18,100.84,2.38,99.64,-0.1,99.97,7.71,99.55,-0.54,99.57,0.98,99.92,0.21
110年7月,99.97,1.91,99.64,2.45,98.64,2.05,100.21,0.52,100.83,6.92,99.77,-0.17,99.87,0.82,99.9,0.15
110年8月,100.55,2.34,101.57,3.83,97.08,2.04,100.99,1.23,100.64,6.47,100.25,0.16,100.3,1.1,99.75,-0.11
110年9月,100.71,2.6,101.84,3.54,95.99,1.61,101.04,1.28,100.76,7.2,100.22,0.21,101.2,2.85,99.7,-0.1
110年10月,101,2.55,102.14,3.97,105.09,0.88,100.21,1.45,101.55,7.22,99.9,0.15,100.61,1.72,99.17,-0.26
110年11月,101.24,2.84,102.63,4.69,103.72,1.46,100.41,1.6,102.42,7.25,100.16,0.28,100.13,1.61,99.64,0.2
110年12月,101.04,2.63,102.23,4.24,102.73,1.52,100.46,1.54,100.95,5.11,100.51,0.71,100.48,2.07,100.15,0.86
111年,102.95,2.95,105.66,5.66,102.38,2.38,102.26,2.26,103.46,3.46,101.22,1.22,101.18,1.18,101.37,1.37
111年1月,101.61,2.83,102.39,3.72,100.13,1.32,100.74,1.72,102.68,5.24,100.32,0.39,100.52,2.07,102.41,2.74
111年2月,101.6,2.33,102.9,5.28,98.75,2.7,100.76,1.39,103.16,4.95,100.48,0.65,101.5,0.57,100.83,-1.08
111年3月,101.92,3.27,103.37,5.89,98.31,2.82,101.07,1.56,104.39,5.93,100.91,0.83,100.52,1.57,101.36,1.63
111年4月,102.7,3.37,104.43,6.91,105.89,2.83,101.3,1.79,104.16,5.01,100.92,0.88,101.04,1.17,101.54,1.49
111年5月,102.96,3.39,105.92,7.4,105.02,2.6,101.57,2.01,103.84,4.59,100.97,1.22,100.6,1.01,101.32,0.94
111年6月,103.35,3.59,106.85,7.3,103.14,2.28,102.98,3.35,103.52,3.55,101.17,1.63,100.62,1.05,101.17,1.25
111年7月,103.32,3.35,106.8,7.19,101.65,3.05,103.25,3.03,103.8,2.95,101.4,1.63,100.75,0.88,100.72,0.82
111年8月,103.24,2.68,106.5,4.85,100.12,3.13,103.48,2.47,103.56,2.9,101.47,1.22,100.6,0.3,101.12,1.37
111年9月,103.49,2.76,107.23,5.29,99.42,3.57,103.63,2.56,103.01,2.23,101.58,1.36,101.24,0.04,101.54,1.85
111年10月,103.77,2.74,107.42,5.17,107.05,1.87,102.64,2.42,103.12,1.55,101.84,1.94,101.86,1.24,101.35,2.2
111年11月,103.62,2.35,106.84,4.1,105.54,1.75,102.76,2.34,103.11,0.67,101.61,1.45,102.18,2.05,101.42,1.79
111年12月,103.78,2.71,107.27,4.93,103.55,0.8,102.88,2.41,103.14,2.17,101.93,1.41,102.78,2.29,101.69,1.54
112年1月,104.71,3.05,107.81,5.29,101.11,0.98,103.23,2.47,103.87,1.16,101.98,1.65,105.02,4.48,105.05,2.58
112年2月,104.06,2.42,107.34,4.31,99.96,1.23,103.22,2.44,103.73,0.55,102.38,1.89,103.6,2.07,102.88,2.03
112年3月,104.32,2.35,108.41,4.88,99.53,1.24,103.38,2.29,103.56,-0.8,102.46,1.54,103.32,2.79,103.03,1.65
112年4月,105.11,2.35,108.82,4.2,105.16,-0.69,103.66,2.33,104.14,-0.02,102.77,1.83,104.36,3.29,103.72,2.15
112年5月,105.04,2.02,109.07,2.97,104.29,-0.7,103.74,2.14,103.73,-0.11,102.93,1.94,103.63,3.01,104.05,2.69
112年6月,105.16,1.75,108.33,1.39,103.08,-0.06,105.03,1.99,103.86,0.33,102.93,1.74,104.12,3.48,103.95,2.75
112年7月,105.26,1.88,108.17,1.28,102.78,1.11,105.18,1.87,104.34,0.52,103.88,2.45,104.43,3.65,103.69,2.95
112年8月,105.85,2.53,110.17,3.45,101.16,1.04,105.32,1.78,105.37,1.75,103.83,2.33,104.32,3.7,103.67,2.52
112年9月,106.52,2.93,112.36,4.78,100.56,1.15,105.51,1.81,105.36,2.28,104.29,2.67,104.19,2.91,104.3,2.72
112年10月,106.93,3.05,113.34,5.51,108.88,1.71,104.54,1.85,104.81,1.64,104.49,2.6,104.99,3.07,103.66,2.28
112年11月,106.63,2.9,112.86,5.63,106.63,1.03,104.66,1.85,104.33,1.18,104.71,3.05,104.62,2.39,103.78,2.33
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
註解：,,,,,,,,,,,,,,,,
由於受查者延誤或更正報價，最近3個月資料均可能修正。,,,,,,,,,,,,,,,,
